,Latitude,Longitude,date,county,state,fips,cases,deaths,COUNTY_ID
0,31.818802738000045,-95.65287869599996,2020-06-11,Anderson,Texas,48001,95,0,TX - ANDERSON
1,32.30281731400004,-102.63218138099995,2020-06-11,Andrews,Texas,48003,27,0,TX - ANDREWS
2,31.25851911700005,-94.61561349899995,2020-06-11,Angelina,Texas,48005,281,5,TX - ANGELINA
3,28.23471305700008,-96.87119030399998,2020-06-11,Aransas,Texas,48007,5,0,TX - ARANSAS
4,33.61584544600004,-98.68506457199999,2020-06-11,Archer,Texas,48009,3,0,TX - ARCHER
5,34.96585095200004,-101.35741855999999,2020-06-11,Armstrong,Texas,48011,3,0,TX - ARMSTRONG
6,28.888626695000028,-98.53040424499994,2020-06-11,Atascosa,Texas,48013,43,2,TX - ATASCOSA
7,29.93765942400006,-96.32372186099997,2020-06-11,Austin,Texas,48015,31,0,TX - AUSTIN
8,34.06747414200004,-102.82003965999996,2020-06-11,Bailey,Texas,48017,29,0,TX - BAILEY
9,29.755371552000042,-99.26042835099997,2020-06-11,Bandera,Texas,48019,6,0,TX - BANDERA
10,30.104655052000055,-97.31956623799994,2020-06-11,Bastrop,Texas,48021,285,4,TX - BASTROP
11,33.61483028600003,-99.21047316099998,2020-06-11,Baylor,Texas,48023,1,0,TX - BAYLOR
12,28.410063526000044,-97.74119457799998,2020-06-11,Bee,Texas,48025,27,0,TX - BEE
13,31.04559798100007,-97.48227323599997,2020-06-11,Bell,Texas,48027,530,6,TX - BELL
14,29.452563869000073,-98.52530495399998,2020-06-11,Bexar,Texas,48029,3852,82,TX - BEXAR
15,30.27374081100004,-98.40025681199995,2020-06-11,Blanco,Texas,48031,11,1,TX - BLANCO
16,31.90683192000006,-97.63468401599994,2020-06-11,Bosque,Texas,48035,7,0,TX - BOSQUE
17,33.45964803600003,-94.56801814299996,2020-06-11,Bowie,Texas,48037,363,13,TX - BOWIE
18,29.194710280000038,-95.45960701199994,2020-06-11,Brazoria,Texas,48039,1058,16,TX - BRAZORIA
19,30.668342771000027,-96.30171340399994,2020-06-11,Brazos,Texas,48041,710,24,TX - BRAZOS
20,29.815265320000037,-103.25125238499999,2020-06-11,Brewster,Texas,48043,1,0,TX - BREWSTER
21,34.53052386100006,-101.20842489799998,2020-06-11,Briscoe,Texas,48045,1,0,TX - BRISCOE
22,27.036500742000044,-98.22794912699999,2020-06-11,Brooks,Texas,48047,1,0,TX - BROOKS
23,31.77679275400004,-98.99962726499996,2020-06-11,Brown,Texas,48049,60,10,TX - BROWN
24,30.500191338000036,-96.62188309199996,2020-06-11,Burleson,Texas,48051,39,0,TX - BURLESON
25,30.796715990000052,-98.18252207699999,2020-06-11,Burnet,Texas,48053,56,1,TX - BURNET
26,29.840874237000037,-97.63039017499995,2020-06-11,Caldwell,Texas,48055,85,0,TX - CALDWELL
27,28.501357040000073,-96.67552811799999,2020-06-11,Calhoun,Texas,48057,45,3,TX - CALHOUN
28,32.302830087000075,-99.37225321899996,2020-06-11,Callahan,Texas,48059,12,1,TX - CALLAHAN
29,26.130137070000046,-97.55387211899995,2020-06-11,Cameron,Texas,48061,990,42,TX - CAMERON
30,32.98209307600007,-94.97861911299998,2020-06-11,Camp,Texas,48063,98,1,TX - CAMP
31,35.40342547500006,-101.35578409999994,2020-06-11,Carson,Texas,48065,6,0,TX - CARSON
32,33.080422128000066,-94.34343692899995,2020-06-11,Cass,Texas,48067,33,1,TX - CASS
33,34.52949915500005,-102.25714031699994,2020-06-11,Castro,Texas,48069,37,1,TX - CASTRO
34,29.72147410200006,-94.51362910799998,2020-06-11,Chambers,Texas,48071,88,0,TX - CHAMBERS
35,31.841954720000047,-95.16797805399995,2020-06-11,Cherokee,Texas,48073,54,2,TX - CHEROKEE
36,34.53004557400004,-100.20837524099994,2020-06-11,Childress,Texas,48075,6,0,TX - CHILDRESS
37,33.78372516200005,-98.20532654199997,2020-06-11,Clay,Texas,48077,5,0,TX - CLAY
38,33.60204823200007,-102.81762246699998,2020-06-11,Cochran,Texas,48079,1,0,TX - COCHRAN
